"Soort misdrijf";"Perioden";"Wijken en buurten";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2012 januari";"Amsterdam";8466
"Totaal misdrijven";"2012 februari";"Amsterdam";7374
"Totaal misdrijven";"2012 maart";"Amsterdam";8645
"Totaal misdrijven";"2012 april";"Amsterdam";8143
"Totaal misdrijven";"2012 mei";"Amsterdam";8333
"Totaal misdrijven";"2012 juni";"Amsterdam";7930
"Totaal misdrijven";"2012 juli";"Amsterdam";8059
"Totaal misdrijven";"2012 augustus";"Amsterdam";8178
"Totaal misdrijven";"2012 september";"Amsterdam";7689
"Totaal misdrijven";"2012 oktober";"Amsterdam";9101
"Totaal misdrijven";"2012 november";"Amsterdam";8363
"Totaal misdrijven";"2012 december";"Amsterdam";8249
"Totaal misdrijven";"2013 januari";"Amsterdam";8270
"Totaal misdrijven";"2013 februari";"Amsterdam";7597
"Totaal misdrijven";"2013 maart";"Amsterdam";8233
"Totaal misdrijven";"2013 april";"Amsterdam";7939
"Totaal misdrijven";"2013 mei";"Amsterdam";8819
"Totaal misdrijven";"2013 juni";"Amsterdam";8251
"Totaal misdrijven";"2013 juli";"Amsterdam";8539
"Totaal misdrijven";"2013 augustus";"Amsterdam";8391
"Totaal misdrijven";"2013 september";"Amsterdam";8033
"Totaal misdrijven";"2013 oktober";"Amsterdam";8539
"Totaal misdrijven";"2013 november";"Amsterdam";8630
"Totaal misdrijven";"2013 december";"Amsterdam";7867
"Totaal misdrijven";"2014 januari";"Amsterdam";8392
"Totaal misdrijven";"2014  februari";"Amsterdam";6978
"Totaal misdrijven";"2014 maart";"Amsterdam";7924
"Totaal misdrijven";"2014 april";"Amsterdam";8248
"Totaal misdrijven";"2014 mei";"Amsterdam";7949
"Totaal misdrijven";"2014 juni";"Amsterdam";7735
"Totaal misdrijven";"2014 juli";"Amsterdam";7244
"Totaal misdrijven";"2014 augustus";"Amsterdam";7535
"Totaal misdrijven";"2014 september ";"Amsterdam";7782
"Totaal misdrijven";"2014 oktober";"Amsterdam";8373
"Totaal misdrijven";"2014 november";"Amsterdam";8058
"Totaal misdrijven";"2014 december";"Amsterdam";7980
"Totaal misdrijven";"2015 januari";"Amsterdam";7819
